moisture_content,pesticide_residue,aflatoxin_b1,microbial_load,heavy_metals,storage_duration,temperature,packaging_integrity,compliant
9.19,0.033,4.33,14780,0.045,67,21.4,Good,1
10.35,0.013,0.33,27844,0.02,66,14.6,Fair,1
12.2,0.041,3.22,25036,0.001,64,27.8,Fair,0
9.53,0.012,0.91,12528,0.018,48,14.5,Good,1
10.16,0.052,2.29,21922,0.05,33,28.4,Good,1
5.0,0.014,1.83,13239,0.005,74,24.4,Good,1
11.9,0.027,1.46,11898,0.036,37,20.1,Poor,1
10.49,0.017,4.95,23490,0.03,66,22.8,Good,1
7.48,0.006,1.52,20497,0.187,26,22.6,Good,1
9.87,0.122,2.91,16547,0.002,31,31.5,Good,0
8.83,0.01,0.9,19129,0.128,77,22.4,Good,1
14.06,0.012,2.81,17477,0.027,48,27.4,Good,1
12.06,0.051,0.92,20928,0.021,44,30.8,Good,0
7.67,0.02,15.63,19384,0.028,11,18.3,Good,1
13.26,0.014,0.36,15308,0.138,37,31.9,Good,0
11.08,0.006,1.38,17515,0.013,65,23.2,Poor,1
5.0,0.016,2.58,31973,0.046,88,24.6,Fair,0
12.97,0.02,13.06,29203,0.062,85,17.6,Good,0
5.0,0.06,3.21,16254,0.054,32,36.8,Good,1
8.87,0.13,2.87,10268,0.022,39,32.8,Good,1
9.39,0.006,2.74,39941,0.009,15,25.8,Fair,1
11.99,0.096,4.06,9974,0.161,74,31.4,Fair,0
7.2,0.013,7.74,7024,0.002,11,20.7,Good,1
8.07,0.033,0.02,500,0.006,62,17.6,Fair,1
12.16,0.116,2.34,29558,0.046,45,34.9,Fair,0
10.04,0.096,11.39,13822,0.001,33,21.7,Good,0
10.55,0.03,1.24,8325,0.115,83,29.5,Good,1
9.32,0.026,0.52,14339,0.066,36,28.8,Good,1
15.9,0.016,4.76,14686,0.06,64,29.3,Good,1
9.95,0.009,1.47,15977,0.014,30,22.9,Fair,1
8.02,0.06,0.56,10880,0.03,48,30.1,Fair,1
14.31,0.014,1.31,11397,0.019,49,21.2,Fair,1
7.22,0.014,3.12,24947,0.001,11,28.2,Fair,1
9.65,0.075,5.27,24426,0.026,23,27.0,Good,0
17.11,0.119,9.3,26163,0.104,73,24.8,Fair,0
5.0,0.055,0.6,21812,0.009,34,20.5,Good,1
7.3,0.032,0.42,26355,0.082,36,31.6,Good,0
12.59,0.038,2.24,8922,0.021,73,28.3,Fair,1
15.18,0.02,0.95,11245,0.05,87,23.0,Fair,1
5.0,0.074,5.74,19579,0.053,77,27.0,Good,0
9.25,0.003,6.21,17513,0.09,18,27.2,Good,1
12.5,0.022,0.86,15352,0.038,73,15.8,Fair,1
8.11,0.002,8.27,19592,0.004,25,21.1,Fair,1
15.0,0.0,1.43,500,0.038,79,30.9,Poor,0
16.87,0.119,26.33,894,0.013,66,24.9,Good,0
9.26,0.046,1.39,646,0.009,39,27.7,Good,1
10.12,0.007,4.45,3616,0.07,14,21.1,Good,1
9.83,0.03,2.91,15729,0.044,39,28.9,Poor,1
12.33,0.023,7.06,11128,0.087,21,19.7,Good,0
13.06,0.052,1.04,10065,0.032,8,18.3,Poor,0
6.46,0.024,3.94,5786,0.008,21,22.9,Good,1
11.86,0.044,1.67,14237,0.084,86,33.7,Poor,0
5.0,0.025,4.68,16563,0.108,22,22.2,Good,1
9.06,0.038,6.53,17005,0.0,20,29.0,Good,1
8.19,0.017,0.79,15014,0.052,44,11.1,Poor,1
9.46,0.029,5.33,21027,0.024,44,25.5,Good,1
7.6,0.031,3.04,11008,0.004,64,19.1,Good,1
11.41,0.03,2.01,22883,0.14,62,17.1,Good,1
13.05,0.022,2.33,11772,0.05,70,25.4,Good,1
8.68,0.017,2.53,9111,0.008,7,23.4,Good,1
12.38,0.041,7.01,25793,0.006,47,28.7,Fair,0
15.04,0.047,3.05,2795,0.048,80,19.2,Good,1
7.4,0.003,0.21,13291,0.024,33,29.9,Good,1
12.62,0.013,3.17,12132,0.022,72,18.9,Good,1
8.08,0.012,1.88,26869,0.034,34,22.2,Good,1
5.71,0.007,0.18,24513,0.084,46,28.3,Good,1
6.88,0.093,0.44,21543,0.203,78,27.0,Fair,0
10.51,0.023,0.3,26575,0.024,33,21.7,Good,0
9.61,0.007,4.75,10927,0.006,61,20.5,Poor,1
8.09,0.023,0.09,16883,0.019,16,6.6,Good,1
10.49,0.036,0.9,26960,0.017,18,21.0,Good,1
7.8,0.116,0.87,23813,0.041,26,27.5,Good,1
13.22,0.002,0.99,8172,0.061,71,34.3,Good,1
8.75,0.02,3.47,500,0.035,7,25.4,Good,1
5.0,0.013,1.42,31355,0.024,76,24.7,Good,1
11.45,0.022,3.21,21078,0.038,73,20.8,Fair,1
12.68,0.017,0.76,20135,0.0,43,28.7,Good,0
5.0,0.012,1.03,13283,0.012,28,7.0,Good,1
9.35,0.05,5.33,27338,0.007,87,22.5,Good,0
11.63,0.006,5.52,26944,0.069,56,24.2,Fair,0
13.09,0.0,0.13,3728,0.095,63,29.5,Fair,1
6.66,0.001,10.8,8905,0.034,70,23.5,Good,1
11.0,0.104,0.64,4334,0.177,85,23.8,Fair,0
11.0,0.171,0.8,9287,0.01,40,30.9,Fair,1
